,subscribers,youtuber,uploads,country,channel_type,highest_yearly_earnings,video_views,estimate_money,money_per_1000_views
47,44200000,whinderssonnunes,558.0,Brazil,Comedy,1300000.0,4274709210.0,14400000.0,3.3686501917635705
48,44200000,ABS-CBN Entertainment,193890.0,Philippines,Entertainment,8500000.0,50292540392.0,139083000.0,2.7654797096335155
49,43500000,Shakira,326.0,Colombia,Howto,17000000.0,27568757295.0,326588400.0,11.846322868504181
50,43200000,  ,1478.0,Russia,Education,14600000.0,36458726976.0,193345200.0,5.303125370429829
51,43200000,ARY Digital HD,109871.0,Pakistan,Entertainment,55200000.0,37939780685.0,491647800.0,12.958635793969666
52,42500000,Speed Records,10938.0,India,Music,7700000.0,26820902622.0,99450600.0,3.707951272244845
53,42400000,Masha and The Bear,1218.0,United States,Film,32200000.0,24519022988.0,354536000.0,14.459629984992286
54,42400000,Like Nastya Show,618.0,United States,Entertainment,2600000.0,19547696190.0,21147000.0,1.081815462776537
55,41900000,Rihanna,84.0,Barbados,Music,8800000.0,22477745835.0,171500000.0,7.629768627998191
56,41400000,Ishtar Music,4510.0,India,Music,8700000.0,17608931161.0,168292800.0,9.557241064848524
57,41300000,Kimberly Loaiza,291.0,Mexico,People,6600000.0,5603111948.0,60510400.0,10.799427275694333
58,40900000,Little Baby Bum - Nursery Rhymes & Kids Songs,2423.0,United States,Education,4700000.0,39450824833.0,64079200.0,1.6242803609621554
59,40400000,elrubiusOMG,703.0,United States,Entertainment,277100.0,7410536668.0,3884300.0,0.5241590689069916
60,39700000,shfa2 - ��,1596.0,United Arab Emirates,People,11900000.0,23884824160.0,98474000.0,4.122868953957583
61,39200000,CarryMinati,186.0,India,Comedy,3800000.0,3294013141.0,41609100.0,12.631734671030568
62,39200000,XXXTENTACION,133.0,United States,Music,2800000.0,10507474316.0,27350000.0,2.6029090509746435
63,39200000,Super Simple Songs - Kids Songs,744.0,Canada,Education,26900000.0,44900897958.0,486112800.0,10.826349184702424
64,39100000,Mikecrack,1876.0,Spain,Games,12700000.0,16118181673.0,130284000.0,8.083045758085866
65,39000000,WorkpointOfficial,72580.0,Thailand,Entertainment,6300000.0,36131228583.0,81207200.0,2.247562653825964
66,38900000,GR6 EXPLODE,3043.0,Brazil,Music,78500000.0,25154232306.0,846690700.0,33.65996980945589
67,38600000,TEDx Talks,200933.0,United States,Nonprofit,2200000.0,7339333120.0,33726400.0,4.595294892405701
68,38200000,TheEllenShow,15672.0,United States,Entertainment,1000000.0,22756581750.0,19444600.0,0.8544604903150712
69,38200000,Sony PAL,24089.0,India,Entertainment,20000000.0,28519339489.0,217056000.0,7.6108354502291045
70,37500000, one31,117152.0,Thailand,Entertainment,6800000.0,27262462114.0,76003200.0,2.787833310219268
71,37000000,ABP NEWS,301308.0,India,News,12800000.0,13102611515.0,166345200.0,12.695575978083937
72,35500000,IndiaTV,273255.0,India,News,14000000.0,16105023749.0,264915500.0,16.44924615627774
73,32100000,rezendeevil,11882.0,Brazil,Entertainment,2100000.0,13061739758.0,26203300.0,2.0061110147253634
74,32000000,StarPlus,44892.0,India,Entertainment,80000000.0,26800674545.0,1457702400.0,54.39051161016216
75,31900000,GMA  Network,93311.0,Philippines,Entertainment,38300000.0,19428308461.0,714095200.0,36.755397487818385
76,30500000,Zee News,180092.0,India,News,22200000.0,16709857823.0,372296600.0,22.280057912136073
77,30100000,Spinnin' Records,11501.0,Netherlands,Music,4800000.0,19607009165.0,83294400.0,4.2481950867186224
78,28300000,HUM TV,106983.0,Pakistan,Entertainment,32900000.0,23844936965.0,434953600.0,18.24092052071399
79,26500000,Raffy Tulfo in Action,10022.0,Philippines,News,7800000.0,15065753455.0,67898700.0,4.506824049843049
80,25900000,Indosiar,65286.0,Indonesia,Entertainment,11000000.0,11372071889.0,131206400.0,11.537598537950993
81,25400000,LankyBox,8775.0,United States,Games,39100000.0,34300482066.0,352966800.0,10.290432633594811
82,25200000,The Lallantop,51129.0,India,News,13100000.0,10409352249.0,125843000.0,12.089416996344745
83,25100000,WatchMojo.com,24837.0,Canada,Entertainment,2400000.0,16357064198.0,39679200.0,2.4258142854786633
84,25000000,TRANS7 OFFICIAL,89179.0,Indonesia,Entertainment,5900000.0,14169516119.0,64680000.0,4.564728919237415
85,24500000,1theK (����,18950.0,South Korea,Entertainment,5100000.0,23962070944.0,66511200.0,2.7756866322380254
86,24100000,netd m�,23491.0,Turkey,Music,20400000.0,56106087508.0,210381600.0,3.749710759460857
87,23100000,Wave Music Bhojpuri,22578.0,India,Music,2500000.0,12889240875.0,27452500.0,2.1298771794425013
88,23100000,GMM GRAMMY OFFICIAL,15462.0,Thailand,Music,6300000.0,25579831081.0,92777000.0,3.6269590563837704
89,22600000,Sun TV,60964.0,India,Entertainment,47100000.0,20847038152.0,398329600.0,19.107251452014324
90,21800000,National Geographic,10162.0,United States,Entertainment,2200000.0,5614621131.0,39834400.0,7.094761885189792
91,21700000,ZAMZAM ELECTRONICS TRADING,15126.0,United Arab Emirates,People,76700000.0,8507818877.0,426028400.0,50.07492591922981
92,21300000,Dangal TV Channel,20225.0,India,Entertainment,26900000.0,12895427184.0,212149100.0,16.4514984244356
93,21200000,GMA Public  Affairs,31989.0,Philippines,News,6800000.0,11364908616.0,106206300.0,9.345108138439254
94,20900000,LIV Crime,9850.0,United States,People,18400000.0,11058049885.0,94074700.0,8.507349937678455
95,20700000,NBA,47926.0,United States,Sports,3500000.0,12624879732.0,68450000.0,5.42183382757313
96,20500000,Mnet K-POP,33229.0,South Korea,Entertainment,7600000.0,15038593883.0,136758000.0,9.093802323805994
97,20400000,Vijay Television,51515.0,India,Entertainment,43600000.0,29406206620.0,731962700.0,24.891435657061976
98,19800000,SOMOY TV,9930.0,United States,News,779.0,12293479945.0,9394.0,0.0007641448997377446
99,19600000,Sony AATH,18661.0,United States,Entertainment,13200000.0,13930021471.0,158835600.0,11.402394485225269
100,19400000,etvteluguindia,125974.0,India,Entertainment,13100000.0,23038014291.0,187787600.0,8.151205986245127
101,19400000,FIFA,10728.0,Switzerland,Sports,2800000.0,5529131886.0,52108800.0,9.424408944185565
102,19200000,Sonotek,8285.0,India,Music,1400000.0,7590582024.0,18060000.0,2.379264191190828
103,19000000,KBS WORLD TV,64496.0,South Korea,Entertainment,5200000.0,15126092508.0,87480000.0,5.7833839078885
104,17700000,News 24,211620.0,Ukraine,News,17800000.0,8396875537.0,322271700.0,38.37995437468874
105,17500000,News18 India,182742.0,India,News,18900000.0,7263619576.0,337837500.0,46.51090223891428
106,17500000,IGN,156215.0,United States,Games,4700000.0,16107116549.0,87036800.0,5.4036239034604625
107,17400000,AMARINTV : ������������,118448.0,Thailand,News,11300000.0,13043561912.0,117705000.0,9.023992126852413
108,17100000,TRANS TV Official,148225.0,Indonesia,Entertainment,2200000.0,9710962528.0,24038000.0,2.4753467980841535
109,16700000,Tu COSMOPOLIS,8741.0,Mexico,People,774700.0,5089284369.0,8423400.0,1.6551246480367385
110,16600000,NMF News,112261.0,India,News,2800000.0,7435180827.0,33966000.0,4.568281631652642
111,16600000,SriBalajiMovies,20102.0,India,Entertainment,7400000.0,9439857193.0,101675200.0,10.770840905876828
112,16600000,Lahari Music - TSeries,8976.0,India,Music,4300000.0,11946217860.0,59398600.0,4.972167818811234
113,16500000,BBC News Hindi,21243.0,India,News,6300000.0,7043235131.0,98400000.0,13.970852622384218
114,16400000,UFC - Ultimate Fighting Championship,14662.0,United States,Sports,6400000.0,7135820721.0,114885000.0,16.09975985830264
115,16400000,Ch7HD,56203.0,Thailand,Entertainment,4200000.0,9463244435.0,60554400.0,6.398904774776643
116,16400000,GMMTV OFFICIAL��,23952.0,Thailand,Entertainment,8700000.0,12844432341.0,127877600.0,9.955877893630925
117,16200000,Thairath Online,244899.0,Thailand,News,10800000.0,14563841315.0,158446400.0,10.879437407547721
118,16200000,LEGO,31889.0,Singapore,Entertainment,5600000.0,20522339099.0,109435500.0,5.332506176419846
119,16000000,wifistudy,52144.0,India,Education,685800.0,3018032423.0,7383000.0,2.446295786531383
120,15800000,Narendra Modi,20679.0,India,News,8900000.0,3392918989.0,156915000.0,46.24778855867932
121,15800000,Rotten Tomatoes Trailers,10441.0,United States,Film,1200000.0,13116313599.0,16518600.0,1.2593934930969777
122,15700000,Volga Video,16874.0,India,Entertainment,2500000.0,9787697838.0,30415000.0,3.10747230895462
123,15700000,Team Films Bhojpuri,19703.0,India,Music,1500000.0,6626563508.0,15911400.0,2.401154079454723
124,15300000,FC Barcelona,10988.0,Spain,Sports,4100000.0,2656528205.0,72890700.0,27.438330924854608
125,15300000,Mazhavil Manorama,87864.0,India,Entertainment,17400000.0,16545966132.0,231799200.0,14.00940858640457
126,15200000,Sony LIV,11099.0,India,Entertainment,10100000.0,7151683497.0,107562400.0,15.04015104207568
127,15200000,T-Series Hamaar Bhojpuri,9862.0,India,Music,5100000.0,7564652648.0,70737200.0,9.351017593478272
128,15200000,CNN,160405.0,United States,News,9000000.0,14198154095.0,174598800.0,12.29728870610627
129,15200000,NDTV India,91704.0,India,News,2400000.0,6624168155.0,37984800.0,5.734274721170631
130,15100000,ABS-CBN News,209520.0,Philippines,News,8700000.0,10489367372.0,136921200.0,13.053332497962968
131,15000000,PlayStation,20292.0,United States,Games,2000000.0,4741434420.0,39356800.0,8.30061043003944
132,15000000,KOMPASTV,269050.0,Indonesia,News,5400000.0,11827310821.0,64024000.0,5.413233909970649
133,14900000,MNCTV OFFICIAL,66362.0,Indonesia,Entertainment,2100000.0,8074260978.0,27124400.0,3.359366271898575
134,14900000,iTownGamePlay *Terror&Diversi�,8420.0,Spain,Games,665200.0,4977284539.0,8148300.0,1.6370974848138977
135,14900000,8 : Thai Ch8,27944.0,Thailand,Entertainment,2400000.0,5549770244.0,32886600.0,5.925758824981008
136,14700000,StudyIQ IAS,43564.0,India,Education,3600000.0,4029253667.0,34912500.0,8.664756028129217
137,14700000,Colors Rishtey,23490.0,India,Entertainment,16700000.0,12362331529.0,202217400.0,16.3575454618436
